scene,floor,distance_m,predicate,msp_question,ann_ok,ann_ts,ann_pos_x,ann_pos_y,ann_pos_z,ann_yaw_rad,ann_m,ann_n,ann_scale_x,ann_scale_y,ann_scale_z,ann_aabb_min_x,ann_aabb_min_y,ann_aabb_min_z,ann_aabb_max_x,ann_aabb_max_y,ann_aabb_max_z,ann_volume,anchor_sid,anchor_label,anchor_center_x,anchor_center_y,anchor_center_z,GT Object 1,GT Object 2
00410-v7DzfFFEpsD,1,2.5,in front of,Where is 2.5 meters in front of the 2 seater sofa?,1,1772043097.12232,12.280334,0.799146,0.013127,1.769631,2,2,0.15,0.15,0.15,12.130555,0.649476,-0.136611,12.430128,0.948756,0.163026,0.01418652,10,sofa,16.448151,0.66133,-0.359754,wall,table
00262-1xGrZPxG1Hz,0,1.5,in front of,Where is 1.5 meters in front of the floor lamp?,1,1772043170.396,-4.188907,0.512823,0.201794,1.455462,2,2,0.15,0.15,0.15,-4.338899,0.362948,0.052043,-4.038919,0.662678,0.351789,0.01418652,344,floor lamp,-2.269543,1.565493,1.117753,rug,wall
00256-92vYG1q49FY,0,2,in front of,Where is 2 meter in front of air conditioner?,1,1772043279.69492,-0.637812,-0.610628,-0.336856,0.672691,2,2,0.15,0.15,0.15,-0.787786,-0.760455,-0.486702,-0.488009,-0.460781,-0.186934,0.01418652,647,air conditioning,-0.76533,-0.40411,-1.92536,light,ceiling
00525-iKFn6fzyRqs,1,1,right of,Where is 1 meters right of the bed?,1,1772043568.78623,-1.368427,0.549104,-1.009255,1.718382,2,2,0.15,0.15,0.15,-1.518386,0.399513,-1.159225,-1.218463,0.698817,-0.859538,0.01418652,7,bed,-1.149632,0.489746,0.437377,cabinet,lamp
00366-fxbzYAGkrtm,1,1,right of,Where is 1 meters right of the bathtub?,1,1772043696.72449,0.169628,0.307767,13.00073,3.127679,2,2,0.15,0.15,0.15,0.020091,0.157891,12.850845,0.319449,0.457582,13.150676,0.01418652,392,bathtub,1.700004,0.196977,12.92011,sink cabinet,wall
00388-pcpn6mFqFCg,0,1.5,behind,Where is 1.5 meters behind the piano stool?,1,1772043955.30737,11.90515,0.499434,2.070736,-1.57127,2,2,0.15,0.15,0.15,11.755151,0.34988,1.921044,12.05515,0.649121,2.220277,0.01418652,35,stool,10.415228,0.258442,1.803177,sofa,arm chair
00706-YHmAkqgwe2p,0,1,above,Where is 1 meter above the tv?,1,1772044067.13696,-9.206061,1.812516,0.816884,3.089299,2,2,0.15,0.15,0.15,-9.355769,1.662747,0.666959,-9.056069,1.962355,0.966804,0.01418652,206,tv,-9.131137,0.700856,0.541469,picture,wall
00582-TYDavTf8oyy,0,2,behind,Where is 2 meters behind the exercise machine?,1,1772044237.2544,-0.981645,-2.028877,-5.06392,1.774411,2,2,0.15,0.15,0.15,-1.13146,-2.178396,-5.213814,-0.831815,-1.879108,-4.914184,0.01418652,229,exercise machine,-0.394177,-2.616395,-8.131584,box,door
00557-fRZhp6vWGw7,1,0.5,left of,Where is 0.5 meters left of the bed curtain?,1,1772044391.30883,1.883236,0.521765,-4.400807,-1.657047,2,2,0.15,0.15,0.15,1.733356,0.372014,-4.550766,2.03312,0.671734,-4.250943,0.01418652,170,bed curtain,2.363884,1.261446,-4.758517,curtain,lamp
00025-ixTj1aTMup2,2,4,in front of,Where is 4 meters in front of the tv?,1,1772044583.41153,-0.380861,0.859687,-4.524228,0.908547,2,2,0.15,0.15,0.15,-0.530775,0.709724,-4.674157,-0.23105,1.009575,-4.374511,0.01418652,293,tv,-3.756616,1.121155,-0.733346,picture,door
00217-qz3829g1Lzf,3,1,above,Where is 1 meter above the fireplace?,1,1772044673.98914,5.676416,1.612786,4.059921,-1.443726,2,2,0.15,0.15,0.15,5.526416,1.46299,3.910259,5.826411,1.762353,4.209543,0.01418652,512,fireplace,5.70723,0.855259,3.494399,painting,wall
00207-FRQ75PjD278,0,3,in front of,Where is 3 meters in front of sofa without pillow?,1,1772044923.25905,2.133087,0.455137,-1.582061,1.266935,2,2,0.15,0.15,0.15,1.983294,0.305359,-1.73195,2.282859,0.605124,-1.432369,0.01418652,298,sofa,6.140343,0.235992,-0.565908,wall,beam
00757-LVgQNuK8vtv,0,1,in front of,Where is 1 meters in front of stool?,1,1772045089.22507,-3.180876,0.44955,-0.02965,-1.965606,2,2,0.15,0.15,0.15,-3.330812,0.29975,-0.179572,-3.0309,0.599142,0.120173,0.01418652,87,stool,-2.90853,0.280862,-1.593295,couch,wall
00217-qz3829g1Lzf,0,0.5,below,Where is 0.5 meters below tv?,1,1772045253.85479,1.246747,0.245563,5.025702,2.465811,2,2,0.15,0.15,0.15,1.096936,0.095589,4.875938,1.39673,0.395404,5.175411,0.01418652,519,led tv,0.772615,1.37549,4.962577,stand,vase
00245-741Fdj7NLF9,0,0.5,behind,Where is 0.5 meters behind chair close to door?,1,1772045383.4333,-0.584669,0.963661,12.736762,-0.744693,2,2,0.15,0.15,0.15,-0.734454,0.814028,12.586901,-0.435045,1.113294,12.886756,0.01418652,224,chair,-1.258589,0.214212,13.634274,window,wall
00313-PE6kVEtrxtj,0,1,in front of,Where is 1 meter in front of sink?,1,1772045523.7738,3.874966,0.702717,3.757287,3.05633,2,2,0.15,0.15,0.15,3.725286,0.552747,3.607556,4.024928,0.852639,3.907046,0.01418652,254,sink,3.665055,0.756603,1.860914,counter top,lower cabinet
